dataset,best_baseline_model,best_baseline_r2,best_complex_model,best_complex_r2,improvement,improvement_pct
biotoxin,ridge,-0.008300381953480596,lstm,0.0783664762694812,0.0866668582229618,1044.1309654023792
cast,mean,-0.006058151018975962,xgb,0.96002321182639,0.966081362845366,15946.802247406955
era5_daily,lasso,0.09631778879264456,rf,0.9132515780805228,0.8169337892878783,848.165016585456
cleaned_data,ridge,0.6976897657856123,xgb,0.9999163941080896,0.3022266283224774,43.31819716205301
rolling_mean,ridge,0.8491977364225228,xgb,0.9997686483273508,0.15057091190482796,17.7309601105567
processed_seq,ridge,0.11034027336491496,xgb,0.8131452984299409,0.702805025065026,636.9433422923689
hydrographic,ridge,0.9978421979802264,xgb,0.9618080245481216,-0.0360341734321048,-3.6112096186193625
phyto_wide,median,0.6631245686343796,xgb,1.0,0.33687543136562037,50.80122910532063
phyto_long,lasso,-0.07516598104839933,xgb,0.7710026069269668,0.8461685879753661,1125.7334450680803
