Model,Mean R²,Std R²,Min R²,Max R²,Dataset Count,Best Datasets
RF,0.18154531736501084,0.7153428698817446,-1.1945178610013223,0.8554386826748228,7,rolling_mean
XGB,0.05098517423876218,0.8084719842528584,-1.340986894966798,0.8463822790346851,7,rolling_mean
SVR,-0.16712216800696197,0.5833181232916891,-1.215213266974638,0.6194646364375664,7,era5_daily
