dataset,original_r2,permuted_r2,pass_sanity_check,n_features,n_samples
biotoxin,-0.005027868549324133,-5.161361284278243e-05,True,2,5076
cast,0.21940492215654395,-0.13360933544223008,True,12,21865
era5_daily,0.619756769536836,-0.027268306382350154,True,8,102982
cleaned_data,0.6943709742974271,-0.12088884448107895,True,55,7819
rolling_mean,0.39146951330298074,-0.1150934934829666,True,55,8855
processed_seq,-0.02838737228736954,-0.10826957744172128,True,30,8039
hydrographic,0.9810093503633084,-0.18182461767264702,False,11,4653
phyto_wide,0.0,-1.436173717180888,False,46,440
phyto_long,0.17585290821544308,-0.7040278405541645,False,1,82
