,R2,R2,R2,R2,MAE,MAE,MAE,MAE,RMSE,RMSE,RMSE,RMSE,n_samples
,mean,std,min,max,mean,std,min,max,mean,std,min,max,sum
model,,,,,,,,,,,,,
lstm,0.402,0.2316,0.0784,0.665,3.3949,7.4502,0.0227,16.722,4.0035,8.7489,0.031,19.6535,34292
rf,0.5832,0.3789,0.0001,0.9723,221.5961,592.8877,0.0054,1796.2921,314.0498,766.2555,0.0077,2336.2177,159811
svr,0.3177,0.4847,-0.4839,0.9025,343.3645,755.5806,0.0115,2216.308,455.2537,976.0391,0.0145,2908.3398,159811
transformer,0.2502,0.2515,-0.0001,0.6476,3.6586,8.0259,0.0319,18.0156,4.1737,9.1118,0.0415,20.4731,34292
xgb,0.8228,0.3197,0.0001,1.0,111.8039,268.3501,0.0005,810.4633,187.0649,449.9587,0.0007,1356.7638,159811
