dataset,model,r2,baseline_r2,delta_r2,n_train,n_test
hydrographic,train_mean,-3.3354506603355816e-05,-3.3354506603355816e-05,0.0,3955,698
hydrographic,rf,0.8484870655904384,-3.3354506603355816e-05,0.8485204200970418,3955,698
hydrographic,svr,0.7166307378302006,-3.3354506603355816e-05,0.716664092336804,3955,698
hydrographic,xgb,0.8781065888477574,-3.3354506603355816e-05,0.8781399433543607,3955,698
