train_dataset,test_dataset,n_features,r2,mae,rmse
cleaned_data,rolling_mean,69,0.728668633308857,0.019408814500542878,0.0240550803811049
rolling_mean,cleaned_data,69,0.6455011228537056,0.03712392721743999,0.05129291704194507
